Age,EdLevel,MainBranch,DevType,Country,Industry,Employment,OrgSize,WorkExp,Worktype,YearsCode,YearsCodePro,Salary,Avgcodepro_time
1,1,1,9,18,4,1,7,2,0,17,13,61041.0,4
1,1,1,9,22,4,1,0,1,0,13,7,119034.0,6
1,3,1,2,7,4,1,1,1,0,5,3,107090.0,2
1,1,1,5,10,4,1,2,1,2,10,6,19387.0,4
1,1,1,5,6,2,1,3,1,1,17,6,103525.0,11
1,2,1,5,8,6,1,3,2,0,19,11,58899.0,8
1,0,1,9,24,1,1,3,0,0,6,5,57104.0,1
3,1,1,9,9,4,1,3,4,1,30,25,91026.0,5
1,1,1,5,9,4,1,7,2,2,20,13,171343.0,7
1,0,1,9,22,4,1,0,1,1,5,5,57312.0,0
2,1,1,9,25,4,1,3,1,2,17,10,170000.0,7
0,0,1,8,10,4,1,5,1,2,3,2,23131.0,1
3,1,1,5,25,6,1,3,6,0,40,31,150000.0,9
3,2,1,7,13,4,1,5,1,0,35,22,80317.0,13
2,2,1,9,9,4,1,7,2,2,14,10,74963.0,4
1,2,0,2,4,4,1,7,1,0,12,10,148703.0,2
2,3,0,4,12,4,1,3,2,2,20,12,96381.0,8
1,1,1,9,13,4,1,0,1,0,14,10,78711.0,4
1,1,1,9,9,4,1,6,1,2,8,3,92097.0,5
1,1,1,9,25,4,1,4,1,0,20,7,185000.0,13
0,1,1,9,25,7,1,2,0,1,3,1,73000.0,2
1,2,1,4,16,4,1,2,0,2,10,5,105000.0,5
2,1,1,9,24,4,1,1,5,0,26,23,47173.0,3
1,2,1,6,9,4,1,2,0,0,12,3,74963.0,9
0,0,1,9,25,0,1,4,0,0,10,0,50000.0,10
1,1,1,9,13,6,1,5,1,0,12,8,107090.0,4
1,2,1,9,3,6,1,5,3,2,15,15,22398.0,0
2,2,1,9,9,4,1,5,1,0,12,6,59970.0,6
1,0,1,9,13,4,1,5,1,2,10,5,48190.0,5
1,1,1,9,3,4,1,2,2,2,15,15,169000.0,0
1,0,1,6,25,7,1,3,0,1,6,5,110000.0,1
4,0,1,5,19,4,1,4,6,2,39,34,29702.0,5
2,0,1,9,17,2,1,3,3,0,30,20,61041.0,10
1,2,1,7,22,4,1,2,1,0,18,7,110216.0,11
0,1,1,9,9,4,1,3,0,0,7,3,47548.0,4
2,3,1,5,21,4,1,3,3,0,25,11,57128.0,14
1,1,1,9,24,4,1,5,1,0,12,8,148966.0,4
2,0,1,9,25,0,1,2,4,1,33,23,110000.0,10
1,1,1,9,10,4,1,7,0,2,4,4,13329.0,0
1,1,1,10,25,4,1,5,2,2,15,11,125000.0,4
1,3,1,5,12,4,1,2,1,0,16,6,42836.0,10
1,1,1,5,0,4,1,2,1,0,13,9,92545.0,4
1,1,1,9,10,4,1,1,0,1,5,6,14540.0,-1
1,1,1,9,9,7,1,4,1,0,13,10,91026.0,3
3,2,1,5,9,4,1,3,3,2,22,17,144571.0,5
3,3,1,9,20,4,1,2,2,0,16,13,29985.0,3
2,1,1,9,4,5,1,5,1,2,25,6,70634.0,19
1,2,1,10,24,2,1,3,1,2,14,6,105517.0,8
1,2,1,3,2,4,1,2,2,0,12,5,72821.0,7
1,2,1,9,22,2,1,5,2,0,12,7,165324.0,5
1,1,1,9,25,4,1,0,2,0,9,5,120000.0,4
1,2,0,2,9,4,1,7,1,0,7,7,104948.0,0
2,1,1,8,25,4,1,0,1,2,10,8,150000.0,2
0,1,1,7,9,4,2,2,0,0,10,4,42836.0,6
2,2,1,2,10,4,1,7,3,1,19,19,53314.0,0
1,2,1,9,25,4,1,7,1,2,10,1,77062.0,9
1,1,1,3,2,4,1,2,1,0,5,6,37481.0,-1
2,1,1,9,25,4,1,6,3,2,28,17,163000.0,11
2,3,1,5,20,4,1,4,2,2,25,12,78175.0,13
1,1,1,8,9,4,1,0,1,0,2,1,39623.0,1
1,2,1,10,17,4,0,3,1,2,12,9,64254.0,3
3,2,1,3,22,4,1,5,1,0,21,18,148792.0,3
1,0,1,9,20,3,1,5,1,2,7,6,58899.0,1
1,2,1,5,9,4,0,0,0,2,10,3,128507.0,7
2,0,1,2,16,4,1,2,2,0,3,1,78956.0,2
4,2,1,9,9,4,1,7,5,2,38,30,85672.0,8
1,1,1,9,22,4,1,0,1,0,10,6,137770.0,4
2,1,1,9,4,4,1,0,1,2,25,22,81787.0,3
1,0,1,9,12,4,1,0,0,1,12,5,21418.0,7
2,0,1,9,13,4,1,2,1,0,12,8,89570.0,4
1,1,1,5,13,4,2,1,1,0,13,7,80317.0,6
1,1,1,5,4,4,1,5,1,2,18,11,118962.0,7
0,2,1,1,9,0,1,3,0,0,7,4,51403.0,3
4,1,1,9,25,4,1,2,2,2,15,11,130000.0,4
1,1,1,9,13,4,1,5,1,1,12,10,69608.0,2
1,2,1,5,20,4,1,7,2,2,17,13,69608.0,4
0,1,1,5,20,4,1,5,0,0,7,3,49797.0,4
1,1,1,9,24,4,1,2,1,2,4,4,52138.0,0
1,0,0,3,3,4,0,0,1,2,15,15,97381.0,0
1,1,1,5,3,4,1,6,1,2,10,9,81150.0,1
2,1,1,9,9,4,1,2,1,2,15,11,48190.0,4
1,2,1,9,9,6,1,5,0,0,10,3,75177.0,7
1,2,1,7,24,4,1,6,0,0,15,4,117931.0,11
2,0,1,10,12,7,1,7,3,0,18,15,69608.0,3
2,2,1,5,8,4,1,5,1,2,15,10,74963.0,5
1,2,1,8,10,4,1,4,0,1,9,5,12117.0,4
1,2,1,9,20,4,1,4,0,2,12,5,34804.0,7
1,0,1,9,25,4,1,4,2,2,13,11,150000.0,2
0,1,1,9,24,2,1,7,0,0,10,2,70759.0,8
1,2,1,9,1,4,2,4,1,0,12,8,72821.0,4
1,0,1,9,5,4,0,3,1,0,8,6,49679.0,2
1,1,1,9,25,2,1,3,0,2,4,3,92000.0,1
2,0,1,9,3,4,1,4,2,0,18,15,17105.0,3
1,1,1,5,6,4,1,2,2,0,17,13,104963.0,4
3,2,1,6,22,7,1,3,5,0,32,25,132260.0,7
1,0,1,9,25,2,1,2,1,2,10,6,72500.0,4
1,2,1,9,8,4,1,3,1,0,11,9,74963.0,2
1,2,1,7,12,4,1,3,1,0,11,6,44978.0,5
1,1,1,5,25,6,1,7,0,0,12,5,120000.0,7
1,1,1,1,12,3,1,0,0,1,10,5,21418.0,5
2,1,1,9,25,4,1,5,2,2,25,12,139000.0,13
1,0,1,9,9,4,1,2,1,0,6,3,58899.0,3
1,0,1,9,9,4,2,1,3,2,16,12,32127.0,4
1,2,1,1,12,4,1,2,1,0,10,7,37481.0,3
1,1,1,5,13,4,1,2,0,0,8,4,38167.0,4
1,0,1,4,4,2,1,7,2,0,15,12,118962.0,3
1,1,1,7,9,7,1,2,1,0,15,6,64254.0,9
0,1,1,5,18,6,1,3,0,2,9,3,75000.0,6
1,1,1,9,9,7,1,3,1,0,10,7,69608.0,3
4,1,1,10,25,4,1,5,1,0,44,39,144000.0,5
1,1,1,8,25,2,1,2,1,2,12,9,185000.0,3
1,0,1,5,14,4,1,4,0,0,14,4,72843.0,10
1,2,1,9,12,4,1,5,1,0,8,4,42836.0,4
2,2,1,9,13,3,1,1,4,0,32,25,42836.0,7
1,1,1,9,9,4,1,2,0,0,15,3,51403.0,12
0,1,1,9,24,4,1,2,0,0,9,4,90062.0,5
0,1,1,9,12,4,2,4,0,0,5,0,13922.0,5
2,1,1,3,16,4,1,3,2,0,6,4,71779.0,2
2,1,1,6,24,4,1,6,2,0,16,12,173793.0,4
1,0,1,5,5,4,1,2,2,1,20,12,90987.0,8
1,1,1,9,24,4,1,7,0,2,4,1,39724.0,3
1,2,1,9,13,4,1,2,0,0,13,3,42836.0,10
1,1,1,9,25,4,1,3,1,2,13,11,100000.0,2
1,2,1,9,10,4,1,3,1,0,10,8,26657.0,2
1,1,1,9,25,4,1,5,1,1,12,9,130000.0,3
2,2,1,9,7,1,1,1,5,2,28,22,54616.0,6
0,1,1,9,24,2,1,3,1,1,11,6,68276.0,5
3,0,1,6,25,2,1,1,6,0,42,36,128000.0,6
2,1,1,9,22,4,2,0,1,0,15,9,63485.0,6
1,1,1,9,25,2,1,2,0,2,7,2,117000.0,5
1,0,1,4,25,4,1,7,1,2,16,12,170000.0,4
2,1,1,8,25,4,1,3,0,2,5,0,85000.0,5
2,1,1,5,8,2,1,4,2,0,15,11,109231.0,4
2,0,1,3,25,2,1,4,2,2,15,15,135000.0,0
